N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.8237292247967973,0.779253308567183,0.7889363686539294,0.24164677804295942,0.48432508319557094,0.3161101044799392
model_2,500,2,1,0.8287031420599297,0.7983482361173595,0.7807184251947032,0.2064439140811456,0.6316300251438658,0.28071547550371617
model_3,500,3,1,0.8317360184398884,0.7598792320631838,0.78261297820985,0.2094272076372315,0.43740275748736174,0.28205481545346484
model_4,500,1,2,0.8608516316874925,0.8388385685608262,0.8316258430522188,0.3568019093078759,0.7094376732040496,0.4580762300190716
model_5,500,2,2,0.8781996845808565,0.8807311249609172,0.8675389132987726,0.581145584725537,0.6835894448673301,0.5742582017161667
model_6,500,3,2,0.8970035181366007,0.8948079148605359,0.8951042385412625,0.6587112171837709,0.692523820923976,0.6718090080066931
model_7,800,1,2,0.8642484532330462,0.856444250056349,0.8393619008501868,0.366945107398568,0.7907030127871598,0.4902351614513162
model_8,800,2,2,0.8921509159286668,0.8850565932830011,0.8789609568636068,0.5262529832935561,0.8052358113081303,0.6249668682033478
model_9,800,3,2,0.8808686157952201,0.8923743323444323,0.8785272533785103,0.5483293556085919,0.7527562630336466,0.6122061076185591
